Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/action/AbstractCRUDAction.java,AbstractCRUDAction.java,93,50,29,14,10,2929,67
Java,/action/src/main/java/org/apache/struts/action2/components/table/renderer/AbstractCellRenderer.java,AbstractCellRenderer.java,71,25,34,12,2,2201,49
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractClosingTag.java,AbstractClosingTag.java,36,12,19,5,0,1095,27
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/dao/AbstractDao.java,AbstractDao.java,74,38,21,15,0,2159,47
Java,/action/src/main/java/org/apache/struts/action2/views/velocity/components/AbstractDirective.java,AbstractDirective.java,124,63,43,18,8,4994,91
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractDoubleListTag.java,AbstractDoubleListTag.java,361,265,19,77,0,9055,222
Java,/action/src/main/java/org/apache/struts/action2/components/table/AbstractFilterModel.java,AbstractFilterModel.java,100,62,19,19,9,3019,61
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractListTag.java,AbstractListTag.java,49,23,19,7,0,1396,36
XML,/webapps/shopping-cart/src/main/java/org/apache/struts/action2/example/ajax/actions/AbstractModifyCartAction-validation.xml,AbstractModifyCartAction-validation.xml,14,14,0,0,0,553,13
Java,/webapps/shopping-cart/src/main/java/org/apache/struts/action2/example/ajax/actions/AbstractModifyCartAction.java,AbstractModifyCartAction.java,65,35,21,9,4,1808,46
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractRequiredListTag.java,AbstractRequiredListTag.java,34,9,19,6,0,993,26
Java,/action/src/main/java/org/apache/struts/action2/components/AbstractRichtexteditorConnector.java,AbstractRichtexteditorConnector.java,582,177,322,83,11,21195,325
Java,/action/src/test/java/org/apache/struts/action2/components/AbstractRichtexteditorConnectorTest.java,AbstractRichtexteditorConnectorTest.java,175,127,21,27,0,7273,110
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractRichtexteditorResult.java,AbstractRichtexteditorResult.java,272,89,159,24,2,10365,180
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/ui/AbstractRichtexteditorTest.java,AbstractRichtexteditorTest.java,74,36,26,12,1,2516,59
Java,/action/src/test/java/org/apache/struts/action2/dispatcher/AbstractServletDispatcherTestCase.java,AbstractServletDispatcherTestCase.java,112,72,19,21,0,4287,80
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/AbstractTagTest.java,AbstractTagTest.java,127,74,35,18,0,4742,101
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AbstractUITag.java,AbstractUITag.java,220,158,25,37,0,5939,148
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/AbstractUITagTest.java,AbstractUITagTest.java,351,186,120,45,36,14365,207
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/validation/AbstractValidationActionSupport.java,AbstractValidationActionSupport.java,33,10,19,4,0,950,26
JavaScript,/action/src/main/resources/org/apache/struts/action2/static/dojo/src/widget/Accordion.js,Accordion.js,200,158,23,19,16,5257,152
CSS,/action/src/main/resources/org/apache/struts/action2/static/dojo/src/widget/templates/AccordionPanel.css,AccordionPanel.css,24,22,0,2,0,388,14
HTML,/action/src/main/resources/org/apache/struts/action2/static/dojo/src/widget/templates/AccordionPanel.html,AccordionPanel.html,35,12,21,2,0,732,27
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/actionchaining/ActionChain1.java,ActionChain1.java,42,15,20,7,0,1218,31
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/actionchaining/ActionChain2.java,ActionChain2.java,55,22,20,13,0,1478,36
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/actionchaining/ActionChain3.java,ActionChain3.java,65,29,20,16,0,1730,41
Java,/action/src/main/java/org/apache/struts/action2/components/ActionComponent.java,ActionComponent.java,280,128,119,33,22,10293,197
Java,/action/src/main/java/org/apache/struts/action2/dispatcher/ActionContextCleanUp.java,ActionContextCleanUp.java,119,55,45,19,5,4314,86
Java,/action/src/main/java/org/apache/struts/action2/views/velocity/components/ActionDirective.java,ActionDirective.java,38,14,20,4,0,1272,30
Java,/action/src/main/java/org/apache/struts/action2/components/ActionError.java,ActionError.java,62,13,41,8,0,1747,45
Java,/action/src/main/java/org/apache/struts/action2/views/velocity/components/ActionErrorDirective.java,ActionErrorDirective.java,38,14,20,4,0,1270,30
Java,/action/src/main/java/org/apache/struts/action2/views/freemarker/tags/ActionErrorModel.java,ActionErrorModel.java,38,14,20,4,0,1253,30
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/ActionErrorTag.java,ActionErrorTag.java,39,12,21,6,0,1237,30
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/ui/ActionErrorTagTest.java,ActionErrorTagTest.java,93,53,22,18,2,2536,64
Java,/action/src/main/java/org/apache/struts/action2/dispatcher/mapper/ActionMapper.java,ActionMapper.java,42,6,33,3,0,1864,33
Java,/action/src/main/java/org/apache/struts/action2/dispatcher/mapper/ActionMapperFactory.java,ActionMapperFactory.java,60,28,26,6,2,2153,48
Java,/action/src/main/java/org/apache/struts/action2/dispatcher/mapper/ActionMapping.java,ActionMapping.java,95,54,24,17,4,2334,58
Java,/action/src/main/java/org/apache/struts/action2/components/ActionMessage.java,ActionMessage.java,58,13,39,6,0,1740,43
Java,/action/src/main/java/org/apache/struts/action2/views/velocity/components/ActionMessageDirective.java,ActionMessageDirective.java,38,14,20,4,0,1280,30
Java,/action/src/main/java/org/apache/struts/action2/views/freemarker/tags/ActionMessageModel.java,ActionMessageModel.java,38,14,20,4,0,1263,30
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/ActionMessageTag.java,ActionMessageTag.java,38,12,21,5,0,1242,30
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/ui/ActionMessageTagTest.java,ActionMessageTagTest.java,95,51,28,16,2,2627,68
Java,/action/src/main/java/org/apache/struts/action2/views/freemarker/tags/ActionModel.java,ActionModel.java,38,14,20,4,0,1255,30
Java,/action/src/main/java/org/apache/struts/action2/config_browser/ActionNamesAction.java,ActionNamesAction.java,86,53,21,12,10,2470,63
Java,/action/src/main/java/org/apache/struts/action2/sitegraph/model/ActionNode.java,ActionNode.java,30,9,19,2,0,864,24
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ActionTag.java,ActionTag.java,74,41,20,13,0,2325,53
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/tag/nonui/actiontag/ActionTagDemo.java,ActionTagDemo.java,35,11,19,5,0,1003,26
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/ActionTagTest.java,ActionTagTest.java,255,173,29,53,0,9139,117
Java,/webapps/shopping-cart/src/main/java/org/apache/struts/action2/example/ajax/actions/ActiveCategory.java,ActiveCategory.java,74,42,21,11,2,2088,52
Java,/action/src/main/java/org/apache/struts/action2/views/xslt/AdapterNode.java,AdapterNode.java,38,10,19,9,0,951,26
JavaServer Pages,/webapps/showcase/src/main/webapp/ajax/AjaxResult.jsp,AjaxResult.jsp,9,7,0,2,0,320,8
JavaScript,/webapps/showcase/src/main/webapp/ajax/AjaxResult2.js,AjaxResult2.js,2,2,0,0,0,120,3
JavaServer Pages,/webapps/showcase/src/main/webapp/ajax/AjaxResult3.jsp,AjaxResult3.jsp,11,8,0,3,0,382,9
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/ajax/AjaxTestAction.java,AjaxTestAction.java,49,21,19,9,0,1190,33
JavaScript,/action/src/main/resources/org/apache/struts/action2/static/dojo/src/alg/Alg.js,Alg.js,49,28,10,11,0,1338,31
Java,/action/src/main/java/org/apache/struts/action2/components/Anchor.java,Anchor.java,139,38,88,13,4,4364,86
Java,/action/src/main/java/org/apache/struts/action2/views/velocity/components/AnchorDirective.java,AnchorDirective.java,42,17,20,5,0,1296,32
Java,/action/src/main/java/org/apache/struts/action2/views/freemarker/tags/AnchorModel.java,AnchorModel.java,38,14,20,4,0,1228,30
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/ui/AnchorTag.java,AnchorTag.java,82,46,20,16,0,2443,58
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/AnchorTagTest.java,AnchorTagTest.java,77,45,20,12,0,2230,53
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/ui/AnchorTest.java,AnchorTest.java,50,21,19,10,0,1418,37
JavaScript,/action/src/main/resources/org/apache/struts/action2/static/dojo/src/animation/Animation.js,Animation.js,361,295,21,45,110,9113,223
Java,/action/src/main/java/org/apache/struts/action2/components/AppendIterator.java,AppendIterator.java,170,46,104,20,5,5327,129
Java,/action/src/main/java/org/apache/struts/action2/util/AppendIteratorFilter.java,AppendIteratorFilter.java,81,40,28,13,5,2381,58
Java,/action/src/main/java/org/apache/struts/action2/views/jsp/iterator/AppendIteratorTag.java,AppendIteratorTag.java,43,13,23,7,0,1412,33
Java,/webapps/showcase/src/main/java/org/apache/struts/action2/showcase/tag/nonui/iteratortag/AppendIteratorTagDemo.java,AppendIteratorTagDemo.java,77,40,20,17,10,2107,48
Java,/action/src/test/java/org/apache/struts/action2/views/jsp/AppendIteratorTagTest.java,AppendIteratorTagTest.java,177,129,20,28,0,5386,93
Java,/action/src/main/java/org/apache/struts/action2/interceptor/ApplicationAware.java,ApplicationAware.java,39,5,30,4,0,1244,31
Java,/action/src/main/java/org/apache/struts/action2/spring/lifecycle/ApplicationContextSessionListener.java,ApplicationContextSessionListener.java,117,57,45,15,6,4954,88
Java,/action/src/main/java/org/apache/struts/action2/lifecycle/ApplicationLifecycleListener.java,ApplicationLifecycleListener.java,120,57,45,18,6,4649,83
Java,/action/src/main/java/org/apache/struts/action2/dispatcher/ApplicationMap.java,ApplicationMap.java,186,89,61,36,20,6173,98
Java,/action/src/main/java/org/apache/struts/action2/sitegraph/collectors/ArbitraryXMLConfigurationProvider.java,ArbitraryXMLConfigurationProvider.java,51,31,12,8,1,1669,41
